"Stage","EnemyHPBonus","EnemyATKBonus","EnemyDEFBonus","EnemyMPBonus","EnemyEquipmentCount","Notes"
"68","189","27","18","37","2","精英节点抬升但不突兀"
"69","173","26","17","36","2","章节常规成长"
"70","175","26","17","36","2","章节常规成长"
"71","177","27","17","37","2","休整节点占位，若进入战斗也保持平滑参数"
"72","198","28","19","39","2","精英节点抬升但不突兀"
"73","182","27","18","38","2","章节常规成长"
"74","184","28","18","38","2","休整节点占位，若进入战斗也保持平滑参数"
"75","186","28","18","39","2","章节常规成长"
"76","208","29","19","41","2","精英节点抬升但不突兀"
"77","191","29","19","40","2","休整节点占位，若进入战斗也保持平滑参数"
"78","193","29","19","40","2","章节常规成长"
"79","214","30","20","43","2","精英节点抬升但不突兀"
"80","240","33","21","47","2","章节Boss抬升并留出完整对抗空间"
"81","200","30","20","42","2","休整节点占位，若进入战斗也保持平滑参数"
"82","202","30","20","42","2","章节常规成长"
"83","223","32","21","45","2","精英节点抬升但不突兀"
"84","207","31","20","43","2","休整节点占位，若进入战斗也保持平滑参数"
"85","209","31","20","43","2","章节常规成长"
"86","211","32","21","44","2","章节常规成长"
"87","213","32","21","44","2","休整节点占位，若进入战斗也保持平滑参数"
"88","236","34","22","47","2","精英节点抬升但不突兀"
"89","218","33","21","45","2","章节常规成长"
"90","220","33","22","46","2","章节常规成长"
"91","222","34","22","46","2","休整节点占位，若进入战斗也保持平滑参数"
"92","246","35","23","49","2","精英节点抬升但不突兀"
"93","227","34","22","47","2","章节常规成长"
"94","229","35","22","48","2","休整节点占位，若进入战斗也保持平滑参数"
"95","231","35","23","48","2","章节常规成长"
"96","255","36","24","51","2","精英节点抬升但不突兀"
"97","236","36","23","49","2","休整节点占位，若进入战斗也保持平滑参数"
"98","238","36","23","50","2","章节常规成长"
"99","261","37","25","52","2","精英节点抬升但不突兀"
"100","289","40","26","57","2","最终Boss高压收束但不应形成纯数值硬墙"
